author_name,title_counts
"Brathwaite, Richard, 1588?-1673.?",15
"Brathwaite, Richard, 1588?-1673.?",11
"Bray, Thomas, 1658-1730.?",11
"Bray, Thomas, 1658-1730.?",19
"Brayne, John.?",12
"Breton, Nicholas, 1545?-1626??",50
"Breton, Nicholas, 1545?-1626??",25
"Breton, Nicholas, 1545?-1626??",24
"Bridge, William, 1600?-1670.?",11
"Brightman, Thomas, 1562-1607.?",12
"Brinkelow, Henry, d. 1546.?",9
"Brinsley, John, fl. 1581-1624.?",12
"Brinsley, John, fl. 1581-1624.?",13
"Briscoe, John, fl. 1695.?",19
"Bristol, George Digby, Earl of, 1612-1677.?",19
"Brooks, Thomas, 1608-1680.?",20
"Brooks, Thomas, 1608-1680.?",24
"Brooks, Thomas, 1608-1680.?",10
"Broughton, Hugh, 1549-1612.?",14
"Broughton, Hugh, 1549-1612.?",55
"Brown, Thomas, 1663-1704.?",16
"Browne, Daniel, fl. 1614-1631.?",11
"Brunschwig, Hieronymus, ca. 1450-ca. 1512.?",4
"Bäze, ThÇodore de, 1519-1605.?",25
"Bäze, ThÇodore de, 1519-1605.?",14
"Bugg, Francis, 1640-1724??",16
"Bugg, Francis, 1640-1724??",17
"Bullein, William, d. 1576.?",7
"Bullinger, Heinrich, 1504-1575.?",24
"Bullinger, Heinrich, 1504-1575.?",16
"Bullord, John.?",16
"Bullord, John.?",19
"Bunny, Edmund, 1540-1619.?",8
"Bunyan, John, 1628-1688.?",13
"Bunyan, John, 1628-1688.?",20
"Bunyan, John, 1628-1688.?",28
"Bunyan, John, 1628-1688.?",22
"Bunyan, John, 1628-1688.?",20
"Bunyan, John, 1628-1688.?",13
"Burges, Cornelius, 1589?-1665.?",12
"Burgess, Daniel, 1645-1713.?",10
"Burgess, Daniel, 1645-1713.?",15
"Burghley, William Cecil, Baron, 1520-1598.?",7
"Burnet, Gilbert, 1643-1715.?",10
"Burnet, Gilbert, 1643-1715.?",22
"Burnet, Gilbert, 1643-1715.?",49
"Burnet, Gilbert, 1643-1715.?",97
"Burnet, Gilbert, 1643-1715.?",26
"Burnet, Gilbert, 1643-1715.?",10
"Burrough, Edward, 1634-1662.?",61
"Burroughs, Jeremiah, 1599-1646.?",12
"Burroughs, Jeremiah, 1599-1646.?",22
"Burroughs, Jeremiah, 1599-1646.?",14
"Burton, Henry, 1578-1648.?",31
"Burton, Henry, 1578-1648.?",19
"Burton, William, d. 1616.?",6
"Burton, William, d. 1616.?",10
"Bush, Paul, 1490-1558.?",1
"Butler, Samuel, 1612-1680.?",18
"Byfield, Nicholas, 1579-1622.?",25
"Byfield, Nicholas, 1579-1622.?",22
"Calamy, Benjamin, 1642-1686.?",11
"Calamy, Edmund, 1600-1666.?",10
"Calamy, Edmund, 1600-1666.?",13
"Calderwood, David, 1575-1650.?",10
"Calvin, Jean, 1509-1564.?",20
"Calvin, Jean, 1509-1564.?",44
"Calvin, Jean, 1509-1564.?",29
"Camden, William, 1551-1623.?",17
"Caoursin, Guillaume, d. 1501.?",1
"Care, Henry, 1646-1688.?",18
"Caryl, Joseph, 1602-1673.?",16
"Catharine Parr, Queen, consort of Henry VIII, King of England, 1512-1548.?",13
Catholic Church. Pope (1389-1404 : Boniface IX)?,1
Catholic Church. Pope (1389-1404 : Boniface IX)?,1
Catholic Church. Pope (1484-1492 : Innocent VIII)?,1
Catholic Church. Pope (1492-1503 : Alexander VI)?,1
Catholic Church. Pope (1503-1513 : Julius II)?,2
Catholic Church. Pope (1513-1521 : Leo X)?,7
Catholic Church.?,3
Catholic Church.?,2
Catholic Church.?,3
Catholic Church.?,40
"Cave, William, 1637-1713.?",11
"Caxton, William, ca. 1422-1491.?",1
"Chamberlayne, Edward, 1616-1703.?",16
"Chamberlayne, Edward, 1616-1703.?",11
"Chamberlen, Hugh.?",19
"Chapman, George, 1559?-1634.?",22
"Charles I, King of England, 1600-1649.?",20
"Charles I, King of England, 1600-1649.?",16
"Charles II, King of England, 1630-1685.?",11
"Charles II, King of England, 1630-1685.?",17
"Chartier, Alain, 15th cent.?",1
"Chaucer, Geoffrey, d. 1400.?",9
"Chaucer, Geoffrey, d. 1400.?",5
"Chaucer, Geoffrey, d. 1400.?",8
"Christine, de Pisan, ca. 1364-ca. 1431.?",2
