author_name,,,,,grand_total
"Turner, Matthew, d. ca. 1788.",,,,,1
"Vanderlint, Jacob",,,,,1
"Vaughan, Rice",,,,,1
"Vaughan, Thomas, b. 1689 or 1790.",,,,,1
"von Aue, Hartmann, 12th cent.",,,,,1
"von Eschenbach, Wolfram, 12th cent.",,,,,1
"Wakefield, Gilbert, 1756-1801.",,,,,1
"Wall, J.",,,,,1
"Warren, Martin, 1696-1735.",,,,,1
"Watts, Stephen, 1741-1788.",,,,,1
"Webb, William, mate of the Doddington East Indiaman.",,,,,1
"Webster, John, 1580?-1625",,,,,1
Well-wisher to the publick.,,,,,1
"Wesley, John, 1703-1791.",,,,,1
"West, Richard, Son of the Lord Chancellor of Ireland.",,,,,1
"Westcott, Edward Noyes, 1847-1898",,,,,1
"White, John, 1757 or 8-1832.",,,,,1
"Whitehead, William, of Newcastle.",,,,,1
"Wigstead, Henry.",,,,,1
"Wilson, James, 1742-1798",,,,,1
"Wilson, Thomas, 1525?-1581",,,,,1
"Winchilsea, Anne Kingsmill Finch, Countess of, 1661-1720.",,,,,1
"Wintringham, Clifton, 1689-1748.",,,,,1
"Wollstonecraft, Mary, 1759-1797.",,,,,1
"Woodville, William, 1752-1805.",,,,,1
"Wright, J. (John), fl. 1761-1765.",,,,,1
"Wright, Mrs.,",,,,,1
"Wycherley, William, 1640-1716",,,,,1
"Yeats, W.B. (William Butler), 1865-1939",,,,,1
